species,individual,replicate,yield,,,,,,,
muricea,PS-23-10-198,12,0.34,,,,,,,
muricea,PS-23-10-198,13,0,,,,,,,
muricea,PS-23-10-198,14,0,,,,,,,
muricea,PS-23-10-198,15,0,,,,,,,
muricea,PS-23-10-198,16,0,,,,,,,
muricea,PS-23-10-198,17,0,,,,,,,
muricea,PS-23-10-198,18,0.32,,,,,,,
muricea,PS-23-10-198,19,0.24,,,,,,,
muricea,PS-23-10-198,20,0,,,,,,,
muricea,PS-23-10-235,1,0.46,,,,,,,
muricea,PS-23-10-235,2,0.51,,,,,,,
muricea,PS-23-10-235,3,0.33,,,,,,,
muricea,PS-23-10-235,4,0.22,,,,,,,
muricea,PS-23-10-235,5,0.43,,,,,,,
muricea,PS-23-10-235,6,0.39,,,,,,,
muricea,PS-23-10-235,7,0.42,,,,,,,
muricea,PS-23-10-235,8,0.2,,,,,,,
muricea,PS-23-10-235,9,0.42,,,,,,,
muricea,PS-23-10-235,10,0.13,,,,,,,
muricea,PS-23-10-235,11,0.1,,,,,,,
muricea,PS-23-10-235,12,0.13,,,,,,,
muricea,PS-23-10-235,13,0.27,,,,,,,
muricea,PS-23-10-235,14,0.57,,,,,,,
muricea,PS-23-10-235,15,0.05,,,,,,,
muricea,PS-23-10-235,16,0.37,,,,,,,
muricea,PS-23-10-235,17,0.09,,,,,,,
muricea,PS-23-10-235,18,0.38,,,,,,,
muricea,PS-23-10-235,19,0.04,,,,,,,
muricea,PS-23-10-235,20,0.13,,,,,,,
muricea,PS-23-10-235,21,0.15,,,,,,,
muricea,PS-23-10-235,22,0.23,,,,,,,
swiftia,PS-23-10-270,1,0.37,,,,,,,
swiftia,PS-23-10-270,2,0.37,,,,,,,
swiftia,PS-23-10-270,3,0.26,,,,,,,
swiftia,PS-23-10-270,4,0.18,,,,,,,
swiftia,PS-23-10-270,5,0.13,,,,,,,
swiftia,PS-23-10-270,6,0.18,,,,,,,
swiftia,PS-23-10-270,7,0.36,,,,,,,
swiftia,PS-23-10-270,8,0.2,,,,,,,
swiftia,PS-23-10-270,9,0.29,,,,,,,
swiftia,PS-23-10-270,10,0.69,,,,,,,
swiftia,PS-23-10-270,11,0.15,,,,,,,
swiftia,PS-23-10-270,12,0.45,,,,,,,
swiftia,PS-23-10-270,13,0.59,,,,,,,
swiftia,PS-23-10-270,14,0.18,,,,,,,
swiftia,PS-23-10-270,15,0.32,,,,,,,
swiftia,PS-23-10-270,16,0.18,,,,,,,
swiftia,PS-23-10-270,17,0.33,,,,,,,
swiftia,PS-23-10-270,18,0.23,,,,,,,
swiftia,PS-23-10-270,19,0.2,,,,,,,
swiftia,PS-23-10-270,20,0.65,,,,,,,
muricea,PS-23-10-271,1,0,,,,,,,
muricea,PS-23-10-271,2,0.66,,,,,,,
muricea,PS-23-10-271,3,0,,,,,,,
muricea,PS-23-10-271,4,0,,,,,,,
muricea,PS-23-10-271,5,0,,,,,,,
muricea,PS-23-10-271,6,0,,,,,,,
muricea,PS-23-10-271,7,0,,,,,,,
muricea,PS-23-10-271,8,0.21,,,,,,,
muricea,PS-23-10-271,9,0,,,,,,,
muricea,PS-23-10-271,10,0.51,,,,,,,
muricea,PS-23-10-271,11,0,,,,,,,
muricea,PS-23-10-271,12,0,,,,,,,
muricea,PS-23-10-271,13,0,,,,,,,
muricea,PS-23-10-271,14,0.28,,,,,,,
muricea,PS-23-10-271,15,0,,,,,,,
muricea,PS-23-10-271,16,0.38,,,,,,,
muricea,PS-23-10-271,17,0,,,,,,,
muricea,PS-23-10-271,18,0,,,,,,,
muricea,PS-23-10-271,19,0,,,,,,,
muricea,PS-23-10-271,20,0,,,,,,,
muricea,PS-23-10-321,1,0,,,,,,,
muricea,PS-23-10-321,2,0,,,,,,,
muricea,PS-23-10-321,3,0,,,,,,,
muricea,PS-23-10-321,4,0,,,,,,,
muricea,PS-23-10-321,5,0,,,,,,,
muricea,PS-23-10-321,6,0,,,,,,,
muricea,PS-23-10-321,7,0,,,,,,,
muricea,PS-23-10-321,8,0,,,,,,,
muricea,PS-23-10-321,9,0,,,,,,,
muricea,PS-23-10-321,10,0,,,,,,,
muricea,PS-23-10-321,11,0,,,,,,,
muricea,PS-23-10-321,12,0,,,,,,,
muricea,PS-23-10-321,13,0,,,,,,,
muricea,PS-23-10-321,14,0,,,,,,,
muricea,PS-23-10-321,15,0,,,,,,,
muricea,PS-23-10-321,16,0,,,,,,,
muricea,PS-23-10-321,17,0,,,,,,,
muricea,PS-23-10-321,18,0,,,,,,,
muricea,PS-23-10-321,19,0,,,,,,,
muricea,PS-23-10-321,20,0,,,,,,,
